            table_name             |          column_name           
 sql_features                      | sub_feature_id
 sql_features                      | sub_feature_name
 sql_features                      | is_supported
 sql_features                      | is_verified_by
 sql_features                      | comments
 sql_implementation_info           | implementation_info_id
 sql_implementation_info           | implementation_info_name
 sql_implementation_info           | character_value
 sql_implementation_info           | comments
 sql_parts                         | feature_id
 sql_parts                         | feature_name
 sql_parts                         | is_supported
 sql_parts                         | is_verified_by
 sql_parts                         | comments
 sql_sizing                        | sizing_name
 sql_sizing                        | comments
 table_constraints                 | constraint_type
 table_constraints                 | is_deferrable
 table_constraints                 | initially_deferred
 table_constraints                 | enforced
 table_constraints                 | nulls_distinct
 table_privileges                  | privilege_type
 table_privileges                  | is_grantable
 table_privileges                  | with_hierarchy
 role_table_grants                 | privilege_type
 role_table_grants                 | is_grantable
 role_table_grants                 | with_hierarchy
 tables                            | table_type
 tables                            | reference_generation
 tables                            | is_insertable_into
 tables                            | is_typed
 tables                            | commit_action
 transforms                        | transform_type
 triggers                          | event_manipulation
 triggers                          | action_condition
 triggers                          | action_statement
 triggers                          | action_orientation
 triggers                          | action_timing
 udt_privileges                    | privilege_type
 udt_privileges                    | is_grantable
 role_udt_grants                   | privilege_type
 role_udt_grants                   | is_grantable
 usage_privileges                  | object_type
 usage_privileges                  | privilege_type
 usage_privileges                  | is_grantable
 role_usage_grants                 | object_type
 role_usage_grants                 | privilege_type
 role_usage_grants                 | is_grantable
 user_defined_types                | user_defined_type_category
 user_defined_types                | is_instantiable
 user_defined_types                | is_final
 user_defined_types                | ordering_form
 user_defined_types                | ordering_category
 user_defined_types                | reference_type
 user_defined_types                | data_type
 user_defined_types                | interval_type
 views                             | view_definition
 views                             | check_option
 views                             | is_updatable
 views                             | is_insertable_into
 views                             | is_trigger_updatable
 views                             | is_trigger_deletable
 views                             | is_trigger_insertable_into
 data_type_privileges              | object_type
 element_types                     | object_type
 element_types                     | data_type
 element_types                     | interval_type
 element_types                     | domain_default
 column_options                    | option_value
 _pg_foreign_data_wrappers         | foreign_data_wrapper_language
 foreign_data_wrapper_options      | option_value
 foreign_data_wrappers             | library_name
 foreign_data_wrappers             | foreign_data_wrapper_language
 _pg_foreign_servers               | foreign_server_type
 _pg_foreign_servers               | foreign_server_version
 foreign_server_options            | option_value
 foreign_servers                   | foreign_server_type
 foreign_servers                   | foreign_server_version
 foreign_table_options             | option_value
 user_mapping_options              | option_value
 system_user                       | avatar
 system_user                       | password
 system_dept                       | ancestors
 system_dept                       | dept_name
 system_dept                       | leader
 system_dept                       | phone
 system_dept                       | email
 system_dept                       | create_by
 system_dept                       | update_by
 system_user                       | login_ip
 sys_user                          | user_name
 sys_user                          | nick_name
 system_user                       | create_by
 system_user                       | update_by
 system_user                       | remark
 system_role                       | role_name
 system_role                       | role_key
 sys_user                          | user_type
 sys_user                          | email
 sys_user                          | phonenumber
 sys_user                          | avatar
 sys_user                          | password
 sys_user                          | login_ip
 sys_user                          | create_by
 sys_user                          | update_by
 sys_user                          | remark
 sys_role                          | role_name
 sys_role                          | role_key
 system_role                       | create_by
 system_role                       | update_by
 sys_role                          | create_by
 sys_role                          | update_by
 sys_role                          | remark
 system_post                       | post_code
 system_post                       | post_name
 system_role                       | remark
 system_post                       | create_by
 system_post                       | update_by
 system_post                       | remark
 system_menu                       | menu_name
 system_menu                       | path
 system_menu                       | component
 system_menu                       | query
 system_menu                       | perms
 system_menu                       | icon
 system_menu                       | create_by
 system_menu                       | update_by
 system_menu                       | remark
 system_dict_type                  | dict_name
 system_dict_type                  | dict_type
 system_dict_type                  | create_by
 system_dict_type                  | update_by
 system_dict_type                  | remark
 system_menu                       | route_name
 system_dict_data                  | dict_type
 system_dict_data                  | css_class
 system_dict_data                  | list_class
 system_dict_data                  | create_by
 system_dict_data                  | update_by
 system_dict_data                  | remark
 system_dict_data                  | dict_label
 system_dict_data                  | dict_value
 system_config                     | config_name
 system_config                     | config_key
 system_config                     | config_value
 system_config                     | create_by
 system_config                     | update_by
 system_config                     | remark
 message                           | title
 system_oper_log                   | title
 system_oper_log                   | method
 system_oper_log                   | request_method
 system_oper_log                   | oper_name
 system_oper_log                   | dept_name
 system_oper_log                   | oper_url
 system_oper_log                   | oper_ip
 system_oper_log                   | oper_location
 system_oper_log                   | oper_param
 system_oper_log                   | json_result
 system_oper_log                   | error_msg
 system_logininfor                 | user_name
 system_logininfor                 | ipaddr
 system_logininfor                 | login_location
 system_logininfor                 | browser
 system_logininfor                 | os
 system_logininfor                 | msg
 system_job                        | job_name
 system_job                        | invoke_target
 system_job                        | job_group
 system_job                        | cron_expression
 system_job                        | misfire_policy
 system_job                        | create_by
 system_job                        | update_by
 system_job                        | remark
 message                           | entity_url
 system_job_log                    | job_name
 system_job_log                    | invoke_target
 system_job_log                    | job_group
 system_job_log                    | job_message
 system_job_log                    | exception_info
 system_notice                     | notice_title
 system_notice                     | notice_content
 system_notice                     | create_by
 system_notice                     | update_by
 system_notice                     | remark
 sys_content                       | content
 sys_content                       | title
 sys_content                       | content_type
 sys_content                       | create_by
 sys_content                       | update_by
 sys_content                       | remark
 message                           | content
 message                           | create_by
 message                           | update_by
 message                           | remark
 gen_table                         | table_name
 gen_table                         | table_comment
 gen_table                         | sub_table_name
 gen_table                         | sub_table_fk_name
 gen_table                         | class_name
 gen_table                         | tpl_category
 gen_table                         | tpl_web_type
 gen_table                         | package_name
 gen_table                         | module_name
 gen_table                         | business_name
 gen_table                         | function_name
 gen_table                         | function_author
 gen_table                         | gen_path
 gen_table                         | options
 gen_table                         | create_by
 gen_table                         | update_by
 gen_table                         | remark
 gen_table_column                  | column_name
 gen_table_column                  | column_comment
 gen_table_column                  | column_type
 gen_table_column                  | java_type
 gen_table_column                  | java_field
 gen_table_column                  | query_type
 gen_table_column                  | html_type
 gen_table_column                  | dict_type
 gen_table_column                  | create_by
 gen_table_column                  | update_by
 sys_content                       | sys_name
 sys_content                       | login_logo
 ai_api_key                        | name
 ai_api_key                        | platform
 ai_api_key                        | url
 ai_api_key                        | platform_tag
 ai_api_key                        | description
 ai_api_key                        | deploy_type
 sys_content                       | logo
 ai_api_key                        | create_by
 ai_api_key                        | update_by
 ai_api_key                        | remark
 sys_content                       | carousel_image
 sys_content                       | contact_number
 ai_api_key                        | api_key
 sys_content                       | email
 sys_content                       | copyright
 sys_content                       | record_number
 ai_model                          | name
 ai_model                          | model
 ai_model                          | platform
 ai_model                          | create_by
 ai_model                          | update_by
 ai_model                          | remark
 system_content                    | title
 system_content                    | content_type
 system_content                    | content
 ai_node_prompt                    | prompt
 system_content                    | create_by
 system_content                    | update_by
 ai_node_prompt                    | name
 system_content                    | remark
 system_content                    | sys_name
 ai_node_prompt                    | create_by
 system_content                    | login_logo
 system_content                    | logo
 ai_node_prompt                    | update_by
 ai_node_prompt                    | remark
 system_content                    | carousel_image
 system_content                    | contact_number
 system_content                    | email
 system_content                    | copyright
 system_content                    | record_number
 ai_workflow                       | name
 ai_workflow                       | description
 kmc_knowledge_base                | qm_dataset_id
 ai_workflow                       | create_by
 ai_workflow                       | update_by
 ai_workflow                       | remark
 kmc_knowledge_base                | cover_image
 kmc_knowledge_base                | indexing_technique
 kmc_knowledge_base                | permission
 kmc_knowledge_base                | embedding_model_provider
 kmc_knowledge_base                | reranking_provider_name
 ai_workflow_node                  | config
 ai_workflow_node                  | prompt
